Start,End,SleepQuality,SleepHours,WakeUp,SleepNotes,HeartRate,ActivitySteps
8/20/2022 22:36,8/21/2022 6:00,69%,7:23,:),Drank coffee,58,0
8/21/2022 21:52,8/22/2022 6:00,88%,8:07,:),Drank coffee:Stressful day,,0
8/22/2022 21:59,8/23/2022 5:49,90%,7:49,:),Drank coffee,52,0
8/23/2022 21:59,8/24/2022 5:29,83%,7:30,:),Ate late:Drank coffee:Drank tea,52,0
8/25/2022 21:57,8/26/2022 5:45,67%,7:48,:),Drank coffee,,0
8/26/2022 21:14,8/27/2022 5:45,90%,8:30,:),Drank coffee:Stressful day,,0
8/27/2022 21:19,8/28/2022 5:45,93%,8:26,:|,,60,0
8/28/2022 22:01,8/29/2022 6:00,85%,7:59,:),Drank coffee:Drank tea,62,0
8/30/2022 22:00,8/31/2022 6:00,84%,8:00,:),Drank coffee,66,0
8/31/2022 22:14,9/1/2022 6:00,77%,7:46,:),Drank coffee,,0
9/1/2022 22:00,9/2/2022 6:00,85%,7:59,:),Drank tea,65,0
9/2/2022 23:36,9/3/2022 7:10,77%,7:33,:),Drank coffee,57,0
9/5/2022 22:54,9/6/2022 6:59,87%,8:04,:),Drank coffee,,0
9/7/2022 22:45,9/8/2022 6:13,84%,7:27,:),Drank coffee:Drank tea,61,0
9/8/2022 22:03,9/9/2022 6:04,86%,8:01,:),Drank tea:Worked out,,0
9/9/2022 22:40,9/10/2022 6:10,83%,7:29,:),Drank coffee:Drank tea:Worked out,,0
9/10/2022 22:10,9/11/2022 4:57,77%,6:46,:),Drank coffee:Drank tea:Worked out,,0
9/12/2022 0:06,9/12/2022 7:41,81%,7:35,:),Drank coffee:Worked out,,0
9/13/2022 22:03,9/14/2022 5:50,81%,7:47,:),Drank coffee,,0
9/14/2022 22:33,9/15/2022 6:30,83%,7:56,:),Drank coffee:Stressful day:Worked out,,0
9/15/2022 22:14,9/16/2022 5:55,70%,7:40,:),Drank coffee:Worked out,,0
9/16/2022 21:59,9/17/2022 6:20,80%,8:20,:),Drank coffee:Drank tea:Worked out,59,0
9/17/2022 22:57,9/18/2022 6:20,60%,7:22,:),Drank coffee:Drank tea:Worked out,56,0
9/19/2022 0:31,9/19/2022 6:55,55%,6:23,:),Drank coffee,,0
9/19/2022 22:01,9/20/2022 6:48,91%,8:47,:),Drank coffee,,0
9/20/2022 22:07,9/21/2022 6:15,79%,8:08,:),Drank coffee:Drank tea:Worked out,55,0
9/22/2022 21:34,9/23/2022 6:15,81%,8:41,:),Drank coffee:Drank tea:Worked out,58,0
9/23/2022 21:37,9/24/2022 5:07,77%,7:29,:),Drank coffee:Drank tea:Worked out,49,0
9/24/2022 22:37,9/25/2022 6:00,83%,7:22,:),Ate late:Drank coffee:Drank tea:Worked out,,0
9/27/2022 22:57,9/28/2022 7:00,82%,8:02,:),Drank tea,61,0
9/28/2022 21:12,9/29/2022 5:15,90%,8:02,:),Drank tea:Worked out,60,0
9/29/2022 22:54,9/30/2022 6:20,89%,7:25,:),Ate late:Drank coffee:Drank tea:Worked out,58,0
9/30/2022 23:57,10/1/2022 6:14,62%,6:16,:),Drank coffee:Drank tea:Worked out,55,0
10/3/2022 0:09,10/3/2022 7:26,69%,7:17,:),Drank coffee:Worked out,57,0
10/11/2022 0:27,10/11/2022 8:58,100%,8:31,:),Drank coffee:Stressful day,50,0
10/12/2022 21:59,10/13/2022 6:00,74%,8:01,:),Ate late:Drank coffee:Drank tea:Worked out,,0
10/13/2022 22:19,10/14/2022 4:59,59%,6:40,:),Drank coffee:Worked out,,0
10/14/2022 5:00,10/14/2022 6:00,13%,1:00,:),,,0
10/14/2022 22:40,10/15/2022 6:20,68%,7:40,:),Drank tea:Worked out,65,0
10/15/2022 22:12,10/16/2022 6:21,67%,8:08,:),Drank coffee:Drank tea:Worked out,58,0
10/17/2022 0:45,10/17/2022 7:37,57%,6:51,:),Drank coffee:Drank tea,,0
10/18/2022 21:52,10/19/2022 6:20,67%,8:27,:|,Drank coffee,,0
10/20/2022 21:38,10/21/2022 6:20,88%,8:42,:|,Drank coffee:Drank tea,62,0
10/21/2022 22:41,10/22/2022 6:20,77%,7:39,:),Drank coffee:Drank tea,53,0
